addr_street,number_of_parks
1 2 PLACE,7
1 74 STREET,7
1 BEAUMONT STREET,4
1 BENNETT AVENUE,7
1 BROADWAY TERRACE,10
1 CENTRAL PARK SOUTH,4
1 CENTRAL PARK WEST,2
1 CHRISTOPHER STREET,17
1 DUFFIELD STREET,11
1 DUTCH STREET,20
1 HANSON PLACE,11
1 IRVING PLACE,13
1 JANE STREET,14
1 MAIN STREET,16
1 MORTON SQUARE,15
1 NORTHSIDE PIERS,9
1 OLIVER STREET,2
1 PAERDEGAT 4 STREET,3
1 PROSPECT PARK SOUTHWEST,7
1 SHERIDAN SQUARE,17
1 STUYVESANT OVAL,9
1 THOMAS STREET,17
1 UNIVERSITY PLACE,15
1 WALL STREET COURT,20
1 WEST END AVE,15
1-50 50 AVENUE,11
10 BAY STREET LANDING,5
10 CLERMONT AVENUE,5
10 DELANCEY STREET,13
10 DOWNING STREET,14
10 GAY STREET,17
10 HANOVER SQUARE,20
10 LEXINGTON AVENUE,7
10 LITTLE WEST STREET,20
10 MADISON SQUARE WEST,10
10 MONTIETH STREET,4
10 SPENCER COURT,7
10 WEST 135 STREET,14
10 WEST 9 STREET,20
10 WEST 95 STREET,1
10 WEST END AVENUE,14
10-23 47 ROAD,15
10-28 CLINTONVILLE STREET,2
10-30 NEILSON STREET,2
10-34 WYCKOFF AVENUE,5
10-40 RIVER ROAD,1
10-49 49 AVENUE,16
10-50 JACKSON AVENUE,14
10-63 JACKSON AVENUE,16
100 11 AVENUE,15
100 ARDEN STREET,8
100 BANK STREET,16
100 BARCLAY STREET,20
100 BEEKMAN STREET,18
100 CABRINI BOULEVARD,7
100 CONGRESS STREET,14
100 CONVENT AVENUE,5
100 EAST 111 STREET,10
100 HART STREET,3
100 HIMROD STREET,4
100 JAY STREET,14
100 JOHN STREET,19
100 LEFFERTS AVENUE,5
100 MANHATTAN AVENUE,5
100 MASPETH AVENUE,6
100 OCEAN PARKWAY,7
100 RIVERSIDE BOULEVARD,2
100 SOUTH 4 STREET,10
100 ST MARK'S PLACE,13
100 STARR STREET,5
100 UNITED NATIONS PLAZA,6
100 WEST 18 STREET,14
100 WEST 26 STREET,10
100 WEST 31ST STREET,9
100 WEST 39 STREET,2
100 WEST 57 STREET,3
100 WEST 80 STREET,1
100 WEST 89 STREET,1
100 WEST 93 STREET,5
100 WINTHROP STREET,5
100-11 67 ROAD,4
1000 BARBEY STREET,2
1000 FULTON STREET,5
1000 HALSEY STREET,6
1000 PARK AVENUE,3
1002 BUSHWICK AVENUE,3
1002 HALSEY STREET,7
1003 CLEVELAND STREET,3
1003 GREENE AVENUE,4
1007 ATLANTIC AVENUE,5
1007 LEXINGTON AVENUE,1
1007 WILLOUGHBY AVENUE,3
1008 MANHATTAN AVENUE,8
1009 EAST 37 STREET,3
1009 WILLOUGHBY AVENUE,3
101 1 AVENUE,12
101 15 STREET,7
101 BEDFORD AVENUE,13
101 EAST 51 STREET,1
101 HAVEMEYER STREET,10
101 LEONARD STREET,17
101 MARINE AVENUE,4
101 PRESIDENT STREET,7
101 PULASKI STREET,4
101 SARATOGA AVENUE,7
101 WADSWORTH AVENUE,9
101 WALL STREET,19
101 WARREN STREET,20
101 WEST 24 STREET,11
101 WEST 67 STREET,3
101 WEST 79 STREET,1
101 WEST 87 STREET,10
101 WEST 90 STREET,8
101 WEST END AVENUE,2
101 WOODRUFF AVENUE,10
101 WYCKOFF STREET,8
1010 DECATUR STREET,6
1010 NEW YORK AVENUE,1
1010 PRESIDENT STREET,5
1012 FULTON STREET,5
1012 OCEAN AVENUE,1
1013 PACIFIC STREET,7
1014 55 STREET,4
1014 EAST 85 STREET,1
1014 HANCOCK STREET,6
1015 ST JOHN'S PLACE,1
1016 UNION STREET,4
1017 CHURCH AVENUE,7
102 15 STREET,8
102 ALBEMARLE ROAD,3
102 BAY 11 STREET,2
102 BRADHURST AVENUE,9
102 EAGLE STREET,7
102 EAST 103 STREET,12
102 EAST 7 STREET,14
102 FULTON STREET,20
102 LENOX ROAD,5
102 ROGERS AVENUE,1
102 WEST 80 STREET,1
102-02 QUEENS BOULEVARD,4
102-05 62 ROAD,5
102-10 66 ROAD,4
102-10 QUEENS BOULEVARD,4
102-14 88 AVENUE,3
102-40 62 AVENUE,5
102-45 62 ROAD,5
102-50 62 ROAD,6
1020 PARK PLACE,2
1022 3 AVENUE,2
1022 GREENE AVENUE,4
1027 BELMONT AVENUE,6
1027 CLARKSON AVENUE,3
1028 AMSTERDAM AVENUE,11
103 AINSLIE STREET,14
103 ALLEN STREET,14
103 AVENUE A,14
103 BOWERY,17
103 CLINTON STREET,15
