,Avg_num_students,Avg_rank,Avg_elem_rank,Num_high_schools,Num_middle_schools,Num_elem_schools,Num_private_schools,Num_Other,Avg_ST_Ratio
10001,425.3333333333333,54.865,77.95,0.0,1.0,1.0,3.0,1.0,10.316666666666666
10002,429.4848484848485,45.32451612903227,58.38999999999999,14.0,4.0,13.0,1.0,1.0,14.133333333333335
10003,435.30434782608694,49.089999999999996,84.08,11.0,2.0,3.0,6.0,1.0,11.97391304347826
10004,415.2857142857143,51.25571428571429,0.0,5.0,2.0,0.0,0.0,0.0,15.916666666666664
10005,77.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.5
10006,678.0,32.230000000000004,0.0,2.0,0.0,0.0,0.0,0.0,18.25
10007,680.0,97.75,97.75,0.0,0.0,1.0,0.0,0.0,15.4
10009,270.07142857142856,47.894999999999996,50.54125,1.0,1.0,8.0,4.0,0.0,11.628571428571425
10010,580.1111111111111,63.30333333333332,80.75,4.0,1.0,1.0,3.0,0.0,10.966666666666667
10011,524.6190476190476,47.101875,91.96000000000001,11.0,1.0,4.0,5.0,0.0,12.838095238095237
10012,547.407431139146,45.703342383738104,50.86098054587163,3.183006535947712,1.7712418300653594,5.738562091503268,3.718954248366013,0.41830065359477125,13.101431214458257
10013,469.7142857142857,71.926,97.955,3.0,0.0,2.0,2.0,0.0,15.914285714285715
10014,335.6666666666667,44.417500000000004,92.73,2.0,1.0,1.0,5.0,0.0,9.271428571428572
10016,333.0,50.019999999999996,88.47999999999999,3.0,0.0,2.0,3.0,0.0,12.0625
10017,200.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.5
10018,253.5,48.935,48.935,0.0,0.0,2.0,0.0,0.0,15.2
10019,485.52941176470586,36.042142857142856,77.39666666666666,11.0,0.0,3.0,2.0,1.0,12.899999999999999
10021,519.6875,56.54333333333333,91.31666666666666,5.0,1.0,3.0,7.0,0.0,11.956249999999999
10022,70.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.066666666666666
10023,466.30434782608694,57.727,73.54,6.0,1.0,3.0,12.0,1.0,10.285714285714285
10024,406.8076923076923,65.52307692307691,81.72666666666667,4.0,3.0,6.0,13.0,0.0,9.334615384615386
10025,347.9130434782609,55.15615384615384,60.27833333333333,1.0,6.0,6.0,10.0,0.0,9.85909090909091
