,rental_id,addr_unit,building_id,bedrooms,bathrooms,size_sqft,created_at,addr_street,addr_city,addr_zip,addr_lat,addr_lon,bin,bbl,floor_count,year_built,min_to_subway,has_doorman,has_elevator,has_fireplace,has_dishwasher,is_furnished,has_gym,allows_pets,has_washer_dryer,has_garage,has_roofdeck,has_concierge,has_pool,has_garden,has_childrens_playroom,rent,no_fee,description,neighborhood,borough,unit,floornumber,line,sentiment_score,scores
0,7236931,#22A,551248,4,3.0,1300.0,2018-06-04 16:31:06,645 OCEAN AVENUE,Brooklyn,11226,40.64698229,-73.96006506,3117619.0,3051240001,6.0,1929.0,3.35,0,1,0,1,0,0,1,1,0,0,0,0,0,0,3925,1,"MAGNIFICENT GUT RENOVATED 4 BEDROOM 3 BATHROOM WITH WASHER & DRYER.

BE THE FIRST TO LIVE IN THIS KING SIZE APARTMENT WITH KING SIZE BEDROOMS AND GIGANTIC LIVING SPACE!

NO FEE – FIRST AND SECURITY TO MOVE IN.

GUT RENOVATED ONE OF A KIND NO FEE

LUXURY LUXURY LUXURY

- Very nice NEW kitchen and bathrooms!
- Shined floors!
- Massive bedrooms!!
- Awesome, spacious kitchen and living room!

Clean, quiet and well looked after building

WASHER DRYER IN UNIT!!!

- Heat and hot water included! 
- Big windows
- Sunny
- Good closet space 7 CLOSETS 
- Live in Super, he's really nice and responsive

*Note: Advertised rent reflects net effective rent with 1 month free.",Flatbush,Brooklyn,22A,,,0.4000000059604645,0.4000000059604645
1,7331920,#406,3373,0,1.0,475.0,2018-07-03 20:11:43,93 WORTH STREET,New York,10013,40.71659851,-74.00479889,1001883.0,1001737504,17.0,2014.0,3.2333,1,1,0,1,0,1,1,1,0,1,1,0,0,0,3350,0,"Want to live in the hottest neighborhood in town? Then this your future home.
This south-facing oversized studio features 10-foot ceilings, custom 7-foot windows, 7-inch wide white oak floor, washer/dryer in the unit and brass fixtures by Waterworks throughout. 
The kitchen's highlights include a painted glass backsplash along with custom European lacquer cabinetry, a Viking gas range, Sub-Zero refrigerator, and Bosch dishwasher. 
93 Worth has an original, contemporary lobby featuring perforated Corian panels inspired by Tribeca's historic textile industry. In addition to a 24/7 concierge, 93 Worth's amenities consist of a common rooftop with panoramic city views, an open lounge with a pergola and kitchen station, a fitness center, playroom, dog washing station and bicycle storage.
Conveniently located near the 1, 2, 3, 4, 5, 6, N, Q, R and J subway lines, this Tribeca home is the epitome of modern Manhattan living.
Contact us today for a private viewing.",Tribeca,Manhattan,406,4.0,06,0.5,0.5
2,7139224,#18A,70747,3,3.0,1886.0,2018-05-02 16:10:27,305 EAST 51 STREET,New York,10022,40.75540161,-73.96759796,1039676.0,1013440001,33.0,2013.0,3.05,1,1,0,1,0,1,1,0,1,0,0,1,1,0,11500,0,"High floor totally renovated 3 bedrooms, 3 baths at the recently inaugurated HALCYON CONDOMINIUM!!!Halcyon is a 32-story luxury condominium tower located at 305 East 51st Street offering 123 premier residences in the heart of Manhattans Midtown East neighborhood. The predominantly glass tower offers sweeping views in all directions, and also incorporates a warm palette of materials including limestone cladding and bronze metalwork. . Halcyon will also offer a complete set of unparalleled amenities including a residential lounge with catering kitchen, common courtyard garden, a windowed 50 lap pool and fitness center with spa and sauna. Apartment Features: East exposure, South exposure, Full city view, Full skyline view, Partial river view, Floors - hardwood, Floors - marble, Light - excellent, Windows - oversized, Windows - new, Modern kitchen, Marble bath, Walk in closets, Great closet space, Dishwasher Building Features: Courtyard, Exercise room, Private storage, Childrens room, Cable TV ready, High speed internet, Package room, Pool Priced to rent!!!!",Midtown East,Manhattan,18A,18.0,A,0.8999999761581421,0.8999999761581421
3,7364827,#23E,42076,1,1.0,827.0,2018-07-13 16:06:55,70 WEST 37TH STREET,New York,10018,40.75130081,-73.98629761,1015919.0,1008380001,24.0,2019.0,2.0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,3772,1,"**SHORT TERM LEASES AVAILABLE**

****Photographs of our interiors should be used to reference the apartment finishes. 
Please see floor plans for variations in layout.**** 

***UNITS ARE NOT FURNISHED***

 Centrally located in Midtown South
 Close Proximity to BDFM and NQRW Subway Lines
 24-Hour Concierge
 Laundry in Building
 Pet-Friendly 
 Live-in Super
 Work-from-Home Space 
 Package Room
 Parking (optional)
 Oversized Windows
 Self-Controlled Heat and A/C
 Ample Storage Space 
 Terraces & Balconies in Most Units 

*Please note we do not allow flex walls to be installed in our apartments*

* Listed rent is net effective rent, based on a gross rent of $4115.00 and 0.5 Months Free",Midtown South,Manhattan,23E,23.0,E,0.0,0.0
4,7242151,#3B,319156,3,1.0,1200.0,2018-06-05 16:35:40,43 MAC DONOUGH STREET,Brooklyn,11216,40.68113195,-73.94467825,3053335.0,3018510053,4.0,1931.0,2.1333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2595,1,"This is a Huuge 3 bedroom apt. located in a pre war building just 2 Blocks from the A&C Trains.

The building offers the following amenities:

Roof deck
Laundry
Pre war style
super on premises
Excellent young environment.


Apartment details:

* 3 Huge bedrooms

* Open and Bright living room, with 'Large' windows

* Hardwood floors throughout the entire apt.

* Fully tiled bathroom

* ""Separate"" kitchen

** No fee",Bedford-Stuyvesant,Brooklyn,3B,3.0,B,0.30000001192092896,0.30000001192092896
5,7171210,#1C,104077,3,1.0,0.0,2018-05-11 20:59:17,70 WEST 109 STREET,New York,10025,40.80075765,-73.96106721,1055734.0,1018440060,6.0,1905.0,1.1667,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2695,1,"NO FEE $2750
Grab your friends and come check out this amazing TRUE 3 bedroom! 
Washer/dryer.
Gut Renovated kitchen, full-sized SS appliance, dishwasher, breakfast bar. Pets welcome, students and guarantors. 
I added some pics with furniture so you can see the layout of the bedrooms.
Close to trains",Upper West Side,Manhattan,1C,1.0,C,0.5,0.5
6,7286986,#1,1345519,3,1.0,850.0,2018-06-19 13:20:57,35-57 87 STREET,Jackson Heights,11372,40.75080734,-73.87947786,4035893.0,4014610057,3.0,1930.0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,0,"Great Location!  5 Minutes Walk To 7 Train. Close Everything,  New Renovation,  Everything Brand New.  ***Including Everything Except Electricty****.   Beautiful 3 Bedrooms  & 1 Bath  With Back Yard.",Jackson Heights,Queens,1,1.0,,0.6000000238418579,0.6000000238418579
7,7418503,#6G,18341149,0,1.0,500.0,2018-07-28 10:25:29,11-05 30 ROAD,Astoria,11102,40.77119827,-73.93379974,4000000.0,4005060029,0.0,,11.95,1,1,0,1,0,1,0,0,0,1,1,0,0,0,2075,0,"Priceless view of NYC, 2 separate rooftops, 24 hour doorman, Shuttle to subway, Gym, Elevator, Gorgeous water front building, Laundry, Parking lot, Balcony to every unit. 

The apartment is on the water, brand new, very sunny and next to the the Socrates Sculpture park (belongs Noguchi Museum) and 10 mins away from Astoria Park.

- 24/7 doorman
- balcony+very sunny
- brand new kitchen + bathroom
- unfurnished 
- gym included
- laundry/dryer in the building 
- rooftop with tanning chairs+ lounge chairs
- Close to the F or N/W train, restaurants and bars
- daily shuttle from the building to the subway in the morning + evening, every 15mins
- garage (extra pay)
- brand new building, elevators, new kitchen, new bathroom
- Daily shuttle to the subway in the morning + evening, every 15 minutes
- Socrates sculpture park and museum is 3 minutes from apartment
- Walk along the water to Astoria Park
- Across the street from the Astoria ferry",Astoria,Queens,6G,6.0,G,0.4000000059604645,0.4000000059604645
8,7304773,#S14A,54856,1,1.0,960.0,2018-06-25 14:04:41,535 WEST 43 STREET,New York,10036,40.76139832,-73.99659729,1026932.0,1010720050,14.0,2016.0,6.8833,1,1,0,1,0,1,1,1,0,1,1,0,1,1,4996,1,"Reduced Security deposit of $1500 on Approved Credit and Income! Great upfront savings for moving cost.
Special Offer: $2000 Amex gift card 

large midtown one bedroom with terrace and additional functional space room to easily accommodate a range of needs from home study, or additional room, or living/ dining spaces. This one bedroom also includes two large walk in closets and an additional large closet with plenty of hanging room racks and storage. 

This large one bedroom apartment is one of the most unique floor plans at 535 W 43rd. This floor plan looks to spin the expectation of the typical New York apartment. Inside you will find ample usable space spread across nearly 1000 sqft including a private outdoor space. A king size bedroom offers plenty space for storage with a large walk in closet. Accompanying a dining nook there is a space designated for a library or any other room your lifestyle requires. 

in addition to the well appointed floor plan you will find the brushed stainless steel appliances, Caesarstone counter tops, and subway tile back splash accent the state-of-the-art kitchens, while blonde Swedish oak compliments the modern and airy feel of this home offers. Energy efficient heating and cooling with individual climate control are included in every apartment to embrace the highest environmental standards, and a private washer/dryer is enjoyed at no additional premium. 



* Listed rent is net effective rent, based on a gross rent of $5995.00 and 3 Months Free",Midtown West,Manhattan,S14A,14.0,SA,0.4000000059604645,0.4000000059604645
9,7180240,#23B,69853,0,1.0,400.0,2018-05-15 17:04:06,250 EAST 54 STREET,New York,10022,40.75730133,-73.96720123,1038562.0,1013277502,43.0,1990.0,1.2167,1,1,0,1,0,1,1,0,0,1,1,0,0,0,2800,1,"Make yourself at home at The Mondrian, Midtown Manhattan's premier full-service building. Atop the 23rd floor, this bright studio offers a wonderful layout and beautiful northeastern views. Boasting 9-foot ceilings and great storage, in addition to a marbled bath and charming kitchen - this home is perfect for those who want to take advantage of the city's best restaurants, shops and transit systems, as well as the on-site Equinox and central laundry facilities. Please note electricity is included.",Midtown East,Manhattan,23B,23.0,B,0.4000000059604645,0.4000000059604645
