,ZipCodePopulation,WhitePop,BlackPop,HispanicPop,AsianPop,IndianPop,HawaiianPop,MalePop,FemalePop,AverageHouseValue,IncomePerHousehold,MedianAge,MedianAgeMale,MedianAgeFemale,AverageFamilySize
10001,21102.0,14351.0,2227.0,3648.0,3843.0,191.0,36.0,10184.0,10918.0,355600.0,85221.0,35.4,38.1,32.4,2.69
10002,81410.0,27453.0,7851.0,20619.0,38893.0,876.0,172.0,38570.0,42840.0,641400.0,35449.0,39.7,37.8,41.6,3.22
10003,56024.0,44362.0,2430.0,4489.0,9180.0,329.0,103.0,26750.0,29274.0,986100.0,104441.0,31.9,33.4,30.6,2.54
10004,3089.0,2264.0,131.0,189.0,732.0,15.0,4.0,1610.0,1479.0,1597500.0,140450.0,32.3,32.9,31.8,2.65
10005,7135.0,5210.0,319.0,530.0,1616.0,32.0,15.0,3443.0,3692.0,1494400.0,154213.0,28.9,30.1,27.9,2.42
10006,3011.0,2165.0,167.0,248.0,648.0,20.0,6.0,1519.0,1492.0,1000000.0,145893.0,29.2,30.3,28.2,2.37
10007,6988.0,5508.0,527.0,711.0,1069.0,25.0,14.0,3958.0,3030.0,2000000.0,242644.0,34.2,35.3,32.8,2.86
10009,61347.0,40055.0,7037.0,15977.0,9304.0,802.0,152.0,28433.0,32914.0,609700.0,60521.0,34.9,34.3,35.6,2.88
10010,31834.0,24326.0,2212.0,3015.0,5154.0,194.0,59.0,14755.0,17079.0,753000.0,115084.0,33.3,34.6,32.1,2.58
10011,50984.0,42257.0,2854.0,5851.0,5295.0,383.0,72.0,25998.0,24986.0,978700.0,123208.0,39.1,40.8,36.8,2.65
10012,24090.0,18870.0,802.0,1921.0,4394.0,128.0,37.0,11840.0,12250.0,1355800.0,104561.0,34.5,35.5,33.4,2.68
10013,27700.0,16023.0,1166.0,1485.0,10519.0,121.0,38.0,13951.0,13749.0,2000000.0,106056.0,37.6,37.7,37.5,2.97
10014,31959.0,28880.0,906.0,2030.0,2379.0,205.0,39.0,15631.0,16328.0,1072700.0,127973.0,37.1,38.9,35.3,2.58
10016,54183.0,41546.0,2526.0,4394.0,9793.0,240.0,87.0,24814.0,29369.0,747600.0,109250.0,32.8,33.8,31.8,2.49
10017,16575.0,12817.0,641.0,1078.0,3200.0,40.0,15.0,7485.0,9090.0,625000.0,118469.0,38.1,37.3,38.7,2.43
10018,5229.0,3095.0,462.0,945.0,1418.0,58.0,10.0,2795.0,2434.0,976400.0,107861.0,33.2,35.2,30.6,2.66
10019,42870.0,30902.0,2792.0,6715.0,7864.0,321.0,83.0,21379.0,21491.0,967800.0,99063.0,37.0,37.4,36.6,2.53
10021,43631.0,39069.0,977.0,2345.0,3665.0,137.0,45.0,18894.0,24737.0,1222500.0,123842.0,40.8,39.9,41.7,2.65
10022,31924.0,28038.0,701.0,1729.0,3202.0,76.0,43.0,14487.0,17437.0,911600.0,133208.0,45.3,45.3,45.3,2.47
10023,60998.0,50981.0,3232.0,5107.0,6291.0,307.0,61.0,27578.0,33420.0,1034000.0,123951.0,40.5,40.5,40.6,2.68
10024,59283.0,50520.0,3902.0,6329.0,4044.0,381.0,91.0,27436.0,31847.0,1438900.0,126107.0,41.7,41.7,41.8,2.8
10025,94600.0,64564.0,15375.0,21010.0,9190.0,1191.0,192.0,43291.0,51309.0,1026300.0,82352.0,39.5,38.6,40.2,2.85
10026,34003.0,8433.0,21136.0,7654.0,1808.0,726.0,122.0,15877.0,18126.0,765400.0,54349.0,35.2,34.4,35.8,3.14
10027,59707.0,20489.0,28027.0,15575.0,5329.0,1052.0,174.0,27465.0,32242.0,692100.0,45536.0,30.7,30.4,31.0,3.09
10028,45141.0,40406.0,978.0,2425.0,3911.0,147.0,45.0,19961.0,25180.0,1175100.0,119203.0,39.4,39.3,39.5,2.75
10029,76003.0,27135.0,25735.0,39859.0,5868.0,1569.0,250.0,34808.0,41195.0,809300.0,34015.0,33.3,30.5,36.4,3.21
10030,26999.0,3502.0,20177.0,6088.0,586.0,525.0,87.0,12560.0,14439.0,593500.0,36118.0,33.3,32.3,34.3,3.22
10031,56438.0,16452.0,20766.0,32984.0,1834.0,1443.0,189.0,27491.0,28947.0,379400.0,44040.0,33.6,31.9,35.6,3.45
10032,57331.0,18934.0,14628.0,39884.0,2493.0,1668.0,276.0,27659.0,29672.0,444000.0,41890.0,34.7,32.8,37.0,3.49
10033,53926.0,25533.0,6802.0,37767.0,1708.0,1290.0,263.0,26461.0,27465.0,504200.0,53044.0,35.2,32.8,37.9,3.45
10034,38908.0,16450.0,6216.0,28096.0,1244.0,1073.0,225.0,18260.0,20648.0,334100.0,50909.0,36.0,34.3,37.7,3.3
10035,33969.0,9634.0,15821.0,16999.0,1250.0,824.0,89.0,17014.0,16955.0,495000.0,27932.0,34.5,33.4,35.5,3.33
10036,24711.0,16441.0,2631.0,4206.0,4559.0,265.0,62.0,13786.0,10925.0,880200.0,93707.0,36.5,37.9,34.6,2.57
10037,17416.0,1813.0,13986.0,3164.0,406.0,322.0,26.0,7307.0,10109.0,459000.0,39979.0,39.7,35.8,42.2,2.84
10038,20300.0,11363.0,1893.0,3128.0,6394.0,167.0,41.0,9410.0,10890.0,735800.0,85032.0,32.2,31.9,32.5,2.77
