0,number_of_schools
1 2 PLACE,19
1 74 STREET,2
1 BEAUMONT STREET,10
1 BENNETT AVENUE,20
1 BROADWAY TERRACE,19
1 CENTRAL PARK SOUTH,16
1 CENTRAL PARK WEST,20
1 CHRISTOPHER STREET,20
1 DUFFIELD STREET,20
1 DUTCH STREET,20
1 HANSON PLACE,20
1 IRVING PLACE,20
1 JANE STREET,20
1 MAIN STREET,7
1 MORTON SQUARE,14
1 NORTHSIDE PIERS,15
1 OLIVER STREET,7
1 PAERDEGAT 4 STREET,12
1 PROSPECT PARK SOUTHWEST,8
1 SHERIDAN SQUARE,20
1 STUYVESANT OVAL,20
1 THOMAS STREET,20
1 UNIVERSITY PLACE,20
1 WALL STREET COURT,20
1 WEST END AVE,20
1-50 50 AVENUE,5
10 BAY STREET LANDING,6
10 CLERMONT AVENUE,10
10 DELANCEY STREET,20
10 DOWNING STREET,20
10 GAY STREET,20
10 HANOVER SQUARE,20
10 LEXINGTON AVENUE,20
10 LITTLE WEST STREET,20
10 MADISON SQUARE WEST,20
10 MONTIETH STREET,12
10 SPENCER COURT,20
10 WEST 135 STREET,20
10 WEST 9 STREET,20
10 WEST 95 STREET,20
10 WEST END AVENUE,20
10-23 47 ROAD,11
10-30 NEILSON STREET,16
10-34 WYCKOFF AVENUE,10
10-40 RIVER ROAD,17
10-49 49 AVENUE,10
10-50 JACKSON AVENUE,8
10-63 JACKSON AVENUE,9
100 11 AVENUE,18
100 ARDEN STREET,13
100 BANK STREET,19
100 BARCLAY STREET,20
100 BEEKMAN STREET,20
100 CABRINI BOULEVARD,12
100 CONGRESS STREET,12
100 CONVENT AVENUE,20
100 EAST 111 STREET,20
100 HART STREET,20
100 HIMROD STREET,20
100 JAY STREET,13
100 JOHN STREET,20
100 LEFFERTS AVENUE,15
100 MANHATTAN AVENUE,20
100 MASPETH AVENUE,12
100 OCEAN PARKWAY,13
100 RIVERSIDE BOULEVARD,20
100 SOUTH 4 STREET,20
100 ST MARK'S PLACE,20
100 STARR STREET,13
100 UNITED NATIONS PLAZA,20
100 WEST 18 STREET,20
100 WEST 26 STREET,20
100 WEST 31ST STREET,20
100 WEST 39 STREET,20
100 WEST 57 STREET,13
100 WEST 80 STREET,20
100 WEST 89 STREET,20
100 WEST 93 STREET,20
100 WINTHROP STREET,12
100-11 67 ROAD,13
1000 BARBEY STREET,14
1000 FULTON STREET,20
1000 HALSEY STREET,14
1000 PARK AVENUE,20
1002 BUSHWICK AVENUE,20
1002 HALSEY STREET,14
1003 CLEVELAND STREET,9
1003 GREENE AVENUE,20
1007 ATLANTIC AVENUE,20
1007 LEXINGTON AVENUE,20
1007 WILLOUGHBY AVENUE,15
1008 MANHATTAN AVENUE,3
1009 EAST 37 STREET,8
1009 WILLOUGHBY AVENUE,16
101 1 AVENUE,20
101 15 STREET,10
101 BEDFORD AVENUE,20
101 EAST 51 STREET,20
101 HAVEMEYER STREET,20
101 LEONARD STREET,20
101 MARINE AVENUE,9
101 PRESIDENT STREET,10
101 PULASKI STREET,20
101 SARATOGA AVENUE,20
101 WADSWORTH AVENUE,20
101 WALL STREET,20
101 WARREN STREET,20
101 WEST 24 STREET,20
101 WEST 67 STREET,20
101 WEST 79 STREET,20
101 WEST 87 STREET,20
101 WEST 90 STREET,20
101 WEST END AVENUE,20
101 WOODRUFF AVENUE,15
101 WYCKOFF STREET,20
1010 DECATUR STREET,16
1010 NEW YORK AVENUE,14
1010 PRESIDENT STREET,19
1012 FULTON STREET,20
1012 OCEAN AVENUE,10
1013 PACIFIC STREET,20
1014 55 STREET,3
1014 EAST 85 STREET,9
1014 HANCOCK STREET,15
1015 ST JOHN'S PLACE,20
1016 UNION STREET,20
1017 CHURCH AVENUE,14
102 15 STREET,11
102 ALBEMARLE ROAD,11
102 BAY 11 STREET,8
102 BRADHURST AVENUE,20
102 EAGLE STREET,2
102 EAST 103 STREET,20
102 EAST 7 STREET,20
102 FULTON STREET,20
102 LENOX ROAD,20
102 ROGERS AVENUE,19
102 WEST 80 STREET,20
102-02 QUEENS BOULEVARD,14
102-05 62 ROAD,11
102-10 66 ROAD,11
102-10 QUEENS BOULEVARD,14
102-14 88 AVENUE,10
102-40 62 AVENUE,12
102-45 62 ROAD,12
102-50 62 ROAD,11
1020 PARK PLACE,20
1022 3 AVENUE,20
1022 GREENE AVENUE,20
1027 BELMONT AVENUE,8
1027 CLARKSON AVENUE,20
1028 AMSTERDAM AVENUE,20
103 AINSLIE STREET,20
103 ALLEN STREET,20
103 AVENUE A,20
103 BOWERY,20
103 CLINTON STREET,20
103 EAST 102 STREET,20
103 GARFIELD PLACE,20
103 MESEROLE STREET,20
103 NORTH 3 STREET,20
103 SOUTH 9 STREET,18
103 TROUTMAN STREET,15
103-07 METROPOLITAN AVENUE,5
103-11 68 DRIVE,11
103-18 METROPOLITAN AVENUE,7
103-19 68 ROAD,12
1031 70 STREET,11
1032 DE KALB AVENUE,20
1033 FLUSHING AVENUE,10
1033A DE KALB AVENUE,20
1035 FULTON STREET,20
1036 EAST 233 STREET,14
1037 BERGEN STREET,14
1038 GREENE AVENUE,20
1039 PACIFIC STREET,20
104 2 AVENUE,20
104 6 AVENUE,20
104 CENTRAL AVENUE,12
104 FRANKLIN STREET,20
104 OUTLOOK AVENUE,1
104 ROGERS AVENUE,20
104 SUFFOLK STREET,20
104 SUMMIT STREET,15
104 WASHINGTON AVENUE,15
104 WEST 70 STREET,20
104 WEST 75 STREET,20
104 WEST 83 STREET,20
104 WEST END AVENUE,8
104-20 QUEENS BOULEVARD,10
1045 SHERMAN AVENUE,19
1047 BEDFORD AVENUE,20
1049 5 AVENUE,20
1049 GLENMORE AVENUE,3
105 AINSLIE STREET,20
105 BERGEN STREET,20
105 BERRY STREET,20
105 COOPER STREET,12
105 DUANE STREET,14
105 EAST 15 STREET,20
105 FRANKLIN STREET,3
105 HURON STREET,3
105 LEONARD STREET,20
105 LINCOLN ROAD,13
105 NORFOLK STREET,20
105 NORTH 7 STREET,20
105 OCEANA DRIVE EAST,7
105 QUINCY STREET,20
105 VANDERVEER STREET,13
105 WEST 29TH STREET,20
105 WEST 72 STREET,20
105 WEST 74 STREET,20
105-01 63 AVENUE,9
105-01 65 ROAD,11
105-15 66 ROAD,11
105-24 64 ROAD,8
105-30 66 AVENUE,11
105-37 64 AVENUE,9
105-37 65 AVENUE,8
105-40 62 ROAD,10
1050 EAST 38 STREET,7
1051 OCEAN AVENUE,4
10532 FLATLANDS 5 STREET,8
1054 BUSHWICK AVENUE,20
1059 BERGEN STREET,15
1059 MANHATTAN AVENUE,2
106 6 AVENUE,20
106 AVENUE S,14
106 BROADWAY,18
106 CENTRAL PARK SOUTH,12
106 EAST 42 STREET,10
106 FT WASHINGTON AVENUE,14
106 HART STREET,20
106 MAC DONOUGH STREET,20
106 MULBERRY STREET,20
106 NORTH 8 STREET,20
106 PINEHURST AVENUE,14
106 REMSEN AVENUE,20
